"No.","Time","Source","Destination","Protocol","Length","Info"
"42","4.836706","192.168.1.233","20.54.36.229","TLSv1.2","97","Application Data"
"43","4.861173","168.95.246.4","192.168.1.233","ICMP","58","Echo (ping) reply    id=0x0002, seq=39062/38552, ttl=51 (request in 39)"
"44","4.905800","20.54.36.229","192.168.1.233","TLSv1.2","228","Application Data"
"45","4.947372","192.168.1.233","20.54.36.229","TCP","54","64509  >  443 [ACK] Seq=44 Ack=175 Win=514 Len=0"
"46","5.042538","192.168.1.233","64.233.163.127","STUN","62","Binding Request"
"47","5.042622","192.168.1.233","64.233.163.127","STUN","62","Binding Request"
"48","5.042651","192.168.1.233","64.233.163.127","STUN","62","Binding Request"
"49","5.042686","192.168.1.233","64.233.163.127","STUN","62","Binding Request"
"50","5.042707","192.168.1.233","64.233.163.127","STUN","62","Binding Request"
"51","5.066881","64.233.163.127","192.168.1.233","STUN","74","Binding Success Response XOR-MAPPED-ADDRESS: 46.39.230.143:4881"
"52","5.066881","64.233.163.127","192.168.1.233","STUN","74","Binding Success Response XOR-MAPPED-ADDRESS: 46.39.230.143:34735"
"53","5.066881","64.233.163.127","192.168.1.233","STUN","74","Binding Success Response XOR-MAPPED-ADDRESS: 46.39.230.143:8107"
"54","5.066881","64.233.163.127","192.168.1.233","STUN","74","Binding Success Response XOR-MAPPED-ADDRESS: 46.39.230.143:53996"
"55","5.066881","64.233.163.127","192.168.1.233","STUN","74","Binding Success Response XOR-MAPPED-ADDRESS: 46.39.230.143:30101"
"56","5.150281","192.168.1.233","18.195.48.254","STUN","62","Binding Request"
"57","5.150373","192.168.1.233","18.195.48.254","STUN","62","Binding Request"
"58","5.150398","192.168.1.233","18.195.48.254","STUN","62","Binding Request"
"59","5.150417","192.168.1.233","18.195.48.254","STUN","62","Binding Request"
"60","5.150438","192.168.1.233","18.195.48.254","STUN","62","Binding Request"
"61","5.198892","18.195.48.254","192.168.1.233","STUN","106","Binding Success Response XOR-MAPPED-ADDRESS: 46.39.230.143:46657 MAPPED-ADDRESS: 46.39.230.143:46657 RESPONSE-ORIGIN: 18.195.48.254:3478"
"62","5.198892","18.195.48.254","192.168.1.233","STUN","106","Binding Success Response XOR-MAPPED-ADDRESS: 46.39.230.143:6617 MAPPED-ADDRESS: 46.39.230.143:6617 RESPONSE-ORIGIN: 18.195.48.254:3478"
"63","5.198892","18.195.48.254","192.168.1.233","STUN","106","Binding Success Response XOR-MAPPED-ADDRESS: 46.39.230.143:23355 MAPPED-ADDRESS: 46.39.230.143:23355 RESPONSE-ORIGIN: 18.195.48.254:3478"
"64","5.198892","18.195.48.254","192.168.1.233","STUN","106","Binding Success Response XOR-MAPPED-ADDRESS: 46.39.230.143:34293 MAPPED-ADDRESS: 46.39.230.143:34293 RESPONSE-ORIGIN: 18.195.48.254:3478"
"65","5.198892","18.195.48.254","192.168.1.233","STUN","106","Binding Success Response XOR-MAPPED-ADDRESS: 46.39.230.143:45330 MAPPED-ADDRESS: 46.39.230.143:45330 RESPONSE-ORIGIN: 18.195.48.254:3478"
"66","5.846618","192.168.1.233","34.120.234.145","TCP","55","51259  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1 [TCP segment of a reassembled PDU]"
"67","5.861954","192.168.1.233","168.95.246.4","ICMP","58","Echo (ping) request  id=0x0002, seq=39063/38808, ttl=255 (reply in 71)"
"68","5.875546","34.120.234.145","192.168.1.233","TCP","66","443  >  51259 [ACK] Seq=1 Ack=2 Win=265 Len=0 SLE=1 SRE=2"
"69","6.020690","173.194.221.188","192.168.1.233","TCP","60","5228  >  64644 [ACK] Seq=1 Ack=1 Win=265 Len=0"
"70","6.020728","192.168.1.233","173.194.221.188","TCP","54","[TCP ACKed unseen segment] 64644  >  5228 [ACK] Seq=1 Ack=2 Win=510 Len=0"
"71","6.069026","168.95.246.4","192.168.1.233","ICMP","58","Echo (ping) reply    id=0x0002, seq=39063/38808, ttl=51 (request in 67)"
"72","7.069832","192.168.1.233","168.95.246.4","ICMP","58","Echo (ping) request  id=0x0002, seq=39064/39064, ttl=255 (reply in 78)"
"73","7.110677","37.230.195.85","192.168.1.233","TCP","60","443  >  52065 [ACK] Seq=1 Ack=1 Win=31 Len=0"
"74","7.110722","192.168.1.233","37.230.195.85","TCP","54","[TCP ACKed unseen segment] 52065  >  443 [ACK] Seq=1 Ack=2 Win=510 Len=0"
"75","7.123702","162.247.241.14","192.168.1.233","TLSv1.2","78","Application Data"
"76","7.123702","162.247.241.14","192.168.1.233","TCP","54","443  >  52022 [FIN, ACK] Seq=25 Ack=2 Win=8 Len=0"
"77","7.123747","192.168.1.233","162.247.241.14","TCP","54","52022  >  443 [ACK] Seq=2 Ack=26 Win=508 Len=0"
"78","7.275726","168.95.246.4","192.168.1.233","ICMP","58","Echo (ping) reply    id=0x0002, seq=39064/39064, ttl=51 (request in 72)"
"79","7.309220","149.154.167.50","192.168.1.233","TCP","60","443  >  64585 [ACK] Seq=1 Ack=1 Win=842 Len=0"
"80","7.309245","192.168.1.233","149.154.167.50","TCP","54","[TCP ACKed unseen segment] 64585  >  443 [ACK] Seq=1 Ack=2 Win=512 Len=0"
"81","7.527078","192.168.1.121","224.0.0.251","MDNS","548","Standard query response 0x0000 TXT, cache flush PTR _rdlink._tcp.local PTR iPhone 11._rdlink._tcp.local TXT SRV, cache flush 0 0 49153 iPhone-11.local PTR, cache flush iPhone-11.local PTR, cache flush iPhone-11.local AAAA, cache flush fe80::1c21:8503:b881:7a4f A, cache flush 192.168.1.121 NSEC, cache flush iPhone 11._rdlink._tcp.local NSEC, cache flush F.4.A.7.1.8.8.B.3.0.5.8.1.2.C.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 121.1.168.192.in-addr.arpa NSEC, cache flush iPhone-11.local OPT"
"82","8.276609","192.168.1.233","168.95.246.4","ICMP","58","Echo (ping) request  id=0x0002, seq=39065/39320, ttl=255 (reply in 83)"
"83","8.478938","168.95.246.4","192.168.1.233","ICMP","58","Echo (ping) reply    id=0x0002, seq=39065/39320, ttl=51 (request in 82)"
"84","8.594232","20.54.36.229","192.168.1.233","TCP","60","443  >  64659 [ACK] Seq=1 Ack=1 Win=7687 Len=0"
"85","8.594257","192.168.1.233","20.54.36.229","TCP","54","[TCP ACKed unseen segment] 64659  >  443 [ACK] Seq=1 Ack=2 Win=514 Len=0"
"86","8.958316","192.168.1.121","224.0.0.251","MDNS","213","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _airplay._tcp.local, ""QM"" question PTR _raop._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question PTR iPad \320\220\320\275\320\270\321\200\320\260\320\224._companion-link._tcp.local OPT"
"87","9.063437","192.168.1.121","224.0.0.251","MDNS","548","Standard query response 0x0000 TXT, cache flush PTR _rdlink._tcp.local PTR iPhone 11._rdlink._tcp.local TXT SRV, cache flush 0 0 49153 iPhone-11.local PTR, cache flush iPhone-11.local PTR, cache flush iPhone-11.local AAAA, cache flush fe80::1c21:8503:b881:7a4f A, cache flush 192.168.1.121 NSEC, cache flush iPhone 11._rdlink._tcp.local NSEC, cache flush F.4.A.7.1.8.8.B.3.0.5.8.1.2.C.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 121.1.168.192.in-addr.arpa NSEC, cache flush iPhone-11.local OPT"
"88","9.479492","192.168.1.233","168.95.246.4","ICMP","58","Echo (ping) request  id=0x0002, seq=39066/39576, ttl=255 (reply in 89)"
"89","9.687254","168.95.246.4","192.168.1.233","ICMP","58","Echo (ping) reply    id=0x0002, seq=39066/39576, ttl=51 (request in 88)"
"90","10.687908","192.168.1.233","168.95.246.4","ICMP","58","Echo (ping) request  id=0x0002, seq=39067/39832, ttl=255 (reply in 91)"
"91","10.901481","168.95.246.4","192.168.1.233","ICMP","58","Echo (ping) reply    id=0x0002, seq=39067/39832, ttl=51 (request in 90)"
"92","11.424360","192.168.1.233","173.194.221.95","UDP","75","59139  >  443 Len=33"
"93","11.447685","173.194.221.95","192.168.1.233","UDP","68","443  >  59139 Len=26"
"94","11.818105","192.168.1.140","192.168.1.255","UDP","309","51644  >  20002 Len=267"
"95","11.901879","192.168.1.233","168.95.246.4","ICMP","58","Echo (ping) request  id=0x0002, seq=39068/40088, ttl=255 (reply in 103)"
"96","11.957544","192.168.1.233","13.107.42.12","TLSv1.2","669","Application Data"
"97","11.957706","192.168.1.233","13.107.42.12","TLSv1.2","305","Application Data"
"98","11.987675","13.107.42.12","192.168.1.233","TCP","60","443  >  51892 [ACK] Seq=1 Ack=616 Win=16385 Len=0"
"99","11.987675","13.107.42.12","192.168.1.233","TCP","60","443  >  51892 [ACK] Seq=1 Ack=867 Win=16384 Len=0"
"100","12.047744","13.107.42.12","192.168.1.233","TLSv1.2","947","Application Data"
"101","12.047744","13.107.42.12","192.168.1.233","TLSv1.2","111","Application Data"
"102","12.047783","192.168.1.233","13.107.42.12","TCP","54","51892  >  443 [ACK] Seq=867 Ack=951 Win=517 Len=0"
"103","12.110105","168.95.246.4","192.168.1.233","ICMP","58","Echo (ping) reply    id=0x0002, seq=39068/40088, ttl=51 (request in 95)"
"104","12.153045","162.247.241.14","192.168.1.233","TCP","54","[TCP Keep-Alive] 443  >  52022 [ACK] Seq=25 Ack=2 Win=8 Len=0"
"105","12.153074","192.168.1.233","162.247.241.14","TCP","54","[TCP Keep-Alive ACK] 52022  >  443 [ACK] Seq=2 Ack=26 Win=508 Len=0"
"106","12.577125","140.82.114.25","192.168.1.233","TLSv1.2","80","Application Data"
"107","12.577378","192.168.1.233","140.82.114.25","TLSv1.2","84","Application Data"
"108","12.715712","140.82.114.25","192.168.1.233","TCP","60","443  >  50888 [ACK] Seq=27 Ack=31 Win=92 Len=0"
"109","12.930514","192.168.1.233","37.230.195.85","TLSv1.2","83","[TCP ACKed unseen segment] , Application Data"
"110","12.948498","37.230.195.85","192.168.1.233","TLSv1.2","79","[TCP Previous segment not captured] , Application Data"
"111","12.954750","93.186.225.198","192.168.1.233","TLSv1.2","371","Application Data"
"112","12.955407","192.168.1.233","93.186.225.198","TLSv1.2","89","Application Data"
"113","12.973814","93.186.225.198","192.168.1.233","TCP","60","443  >  49433 [ACK] Seq=318 Ack=36 Win=417 Len=0"
"114","12.992931","192.168.1.233","37.230.195.85","TCP","54","[TCP ACKed unseen segment] 52065  >  443 [ACK] Seq=30 Ack=27 Win=510 Len=0"
"115","13.111502","192.168.1.233","168.95.246.4","ICMP","58","Echo (ping) request  id=0x0002, seq=39069/40344, ttl=255 (reply in 116)"
"116","13.320842","168.95.246.4","192.168.1.233","ICMP","58","Echo (ping) reply    id=0x0002, seq=39069/40344, ttl=51 (request in 115)"
"117","13.657661","151.101.84.193","192.168.1.233","TCP","60","443  >  51335 [ACK] Seq=1 Ack=1 Win=290 Len=0"
"118","13.657698","192.168.1.233","151.101.84.193","TCP","54","[TCP ACKed unseen segment] 51335  >  443 [ACK] Seq=1 Ack=2 Win=513 Len=0"
"119","14.018465","192.168.1.233","185.201.44.12","TCP","55","52023  >  443 [ACK] Seq=1 Ack=1 Win=511 Len=1 [TCP segment of a reassembled PDU]"
"120","14.044181","185.201.44.12","192.168.1.233","TCP","54","443  >  52023 [ACK] Seq=1 Ack=2 Win=248 Len=0"
"121","14.321876","192.168.1.233","168.95.246.4","ICMP","58","Echo (ping) request  id=0x0002, seq=39070/40600, ttl=255 (reply in 124)"
"122","14.471072","52.108.80.31","192.168.1.233","TLSv1.2","87","Application Data"
"123","14.515850","192.168.1.233","52.108.80.31","TCP","54","65029  >  443 [ACK] Seq=1 Ack=34 Win=513 Len=0"
"124","14.526823","168.95.246.4","192.168.1.233","ICMP","58","Echo (ping) reply    id=0x0002, seq=39070/40600, ttl=51 (request in 121)"
"125","14.942636","192.168.1.233","93.186.225.198","TLSv1.2","139","Application Data"
"126","14.942740","192.168.1.233","93.186.225.198","TLSv1.2","199","Application Data"
"127","14.965822","93.186.225.198","192.168.1.233","TCP","60","443  >  49433 [ACK] Seq=318 Ack=121 Win=417 Len=0"
"128","14.965822","93.186.225.198","192.168.1.233","TCP","60","443  >  49433 [ACK] Seq=318 Ack=266 Win=422 Len=0"
"129","14.965822","93.186.225.198","192.168.1.233","TLSv1.2","89","Application Data"
"130","15.013815","192.168.1.233","93.186.225.198","TCP","54","49433  >  443 [ACK] Seq=266 Ack=353 Win=512 Len=0"
"131","15.075842","192.168.1.233","64.233.163.127","STUN","62","Binding Request"
"132","15.075970","192.168.1.233","64.233.163.127","STUN","62","Binding Request"
"133","15.076014","192.168.1.233","64.233.163.127","STUN","62","Binding Request"
"134","15.076033","192.168.1.233","64.233.163.127","STUN","62","Binding Request"
"135","15.076053","192.168.1.233","64.233.163.127","STUN","62","Binding Request"
"136","15.110986","64.233.163.127","192.168.1.233","STUN","74","Binding Success Response XOR-MAPPED-ADDRESS: 46.39.230.143:4881"
"137","15.110986","64.233.163.127","192.168.1.233","STUN","74","Binding Success Response XOR-MAPPED-ADDRESS: 46.39.230.143:34735"
"138","15.110986","64.233.163.127","192.168.1.233","STUN","74","Binding Success Response XOR-MAPPED-ADDRESS: 46.39.230.143:53996"
"139","15.110986","64.233.163.127","192.168.1.233","STUN","74","Binding Success Response XOR-MAPPED-ADDRESS: 46.39.230.143:8107"
"140","15.110986","64.233.163.127","192.168.1.233","STUN","74","Binding Success Response XOR-MAPPED-ADDRESS: 46.39.230.143:30101"
"141","15.215173","192.168.1.233","18.195.48.254","STUN","62","Binding Request"
"142","15.215257","192.168.1.233","18.195.48.254","STUN","62","Binding Request"
"143","15.215278","192.168.1.233","18.195.48.254","STUN","62","Binding Request"
"144","15.215293","192.168.1.233","18.195.48.254","STUN","62","Binding Request"
"145","15.215309","192.168.1.233","18.195.48.254","STUN","62","Binding Request"
"146","15.267320","18.195.48.254","192.168.1.233","STUN","106","Binding Success Response XOR-MAPPED-ADDRESS: 46.39.230.143:46657 MAPPED-ADDRESS: 46.39.230.143:46657 RESPONSE-ORIGIN: 18.195.48.254:3478"
"147","15.267320","18.195.48.254","192.168.1.233","STUN","106","Binding Success Response XOR-MAPPED-ADDRESS: 46.39.230.143:34293 MAPPED-ADDRESS: 46.39.230.143:34293 RESPONSE-ORIGIN: 18.195.48.254:3478"
"148","15.267320","18.195.48.254","192.168.1.233","STUN","106","Binding Success Response XOR-MAPPED-ADDRESS: 46.39.230.143:6617 MAPPED-ADDRESS: 46.39.230.143:6617 RESPONSE-ORIGIN: 18.195.48.254:3478"
"149","15.267320","18.195.48.254","192.168.1.233","STUN","106","Binding Success Response XOR-MAPPED-ADDRESS: 46.39.230.143:45330 MAPPED-ADDRESS: 46.39.230.143:45330 RESPONSE-ORIGIN: 18.195.48.254:3478"
"150","15.267320","18.195.48.254","192.168.1.233","STUN","106","Binding Success Response XOR-MAPPED-ADDRESS: 46.39.230.143:23355 MAPPED-ADDRESS: 46.39.230.143:23355 RESPONSE-ORIGIN: 18.195.48.254:3478"
"151","15.527314","192.168.1.233","168.95.246.4","ICMP","58","Echo (ping) request  id=0x0002, seq=39071/40856, ttl=255 (reply in 152)"
"152","15.732333","168.95.246.4","192.168.1.233","ICMP","58","Echo (ping) reply    id=0x0002, seq=39071/40856, ttl=51 (request in 151)"
"153","15.979696","178.132.0.165","192.168.1.233","TCP","60","8436  >  49364 [ACK] Seq=1 Ack=1 Win=1132 Len=0"
"154","15.979727","192.168.1.233","178.132.0.165","TCP","54","[TCP ACKed unseen segment] 49364  >  8436 [ACK] Seq=1 Ack=2 Win=511 Len=0"
"155","16.641004","173.194.221.95","192.168.1.233","UDP","122","443  >  59139 Len=80"
"156","16.641004","173.194.221.95","192.168.1.233","UDP","68","443  >  59139 Len=26"
"157","16.645274","192.168.1.233","173.194.221.95","UDP","75","59139  >  443 Len=33"
"158","16.652532","192.168.1.233","192.168.1.1","DNS","91","Standard query 0x93ac A signaler-pa.clients6.google.com"
"159","16.652676","192.168.1.233","192.168.1.1","DNS","91","Standard query 0xc031 HTTPS signaler-pa.clients6.google.com"
"160","16.661974","192.168.1.1","192.168.1.233","DNS","107","Standard query response 0x93ac A signaler-pa.clients6.google.com A 142.251.1.95"
"161","16.661974","192.168.1.1","192.168.1.233","DNS","141","Standard query response 0xc031 HTTPS signaler-pa.clients6.google.com SOA ns1.google.com"
"162","16.662460","192.168.1.233","142.251.1.95","QUIC","1292","Initial, DCID=9e77efa9a1a8f57b, PKN: 1, CRYPTO, CRYPTO, PADDING, PING, CRYPTO, CRYPTO"
"163","16.662628","192.168.1.233","142.251.1.95","QUIC","121","0-RTT, DCID=9e77efa9a1a8f57b"
"164","16.662791","192.168.1.233","142.251.1.95","QUIC","552","0-RTT, DCID=9e77efa9a1a8f57b"
"165","16.695645","142.251.1.95","192.168.1.233","QUIC","1292","Protected Payload (KP0)"
"166","16.695645","142.251.1.95","192.168.1.233","QUIC","830","Protected Payload (KP0)"
"167","16.695645","142.251.1.95","192.168.1.233","QUIC","252","Protected Payload (KP0)"
"168","16.696021","192.168.1.233","142.251.1.95","QUIC","120","Handshake, DCID=de77efa9a1a8f57b"
"169","16.696111","192.168.1.233","142.251.1.95","QUIC","75","Protected Payload (KP0), DCID=de77efa9a1a8f57b"
"170","16.710785","142.251.1.95","192.168.1.233","QUIC","67","Protected Payload (KP0)"
"171","16.714453","142.251.1.95","192.168.1.233","QUIC","162","Protected Payload (KP0)"
"172","16.714585","192.168.1.233","142.251.1.95","QUIC","75","Protected Payload (KP0), DCID=de77efa9a1a8f57b"
"173","16.733040","192.168.1.233","168.95.246.4","ICMP","58","Echo (ping) request  id=0x0002, seq=39072/41112, ttl=255 (reply in 184)"
"174","16.770135","192.168.1.233","142.251.1.95","QUIC","544","Protected Payload (KP0), DCID=de77efa9a1a8f57b"
"175","16.790642","142.251.1.95","192.168.1.233","QUIC","73","Protected Payload (KP0)"
"176","16.817642","192.168.1.233","142.251.1.95","QUIC","75","Protected Payload (KP0), DCID=de77efa9a1a8f57b"
"177","16.908332","142.251.1.95","192.168.1.233","QUIC","334","Protected Payload (KP0)"
"178","16.908332","142.251.1.95","192.168.1.233","QUIC","67","Protected Payload (KP0)"
"179","16.908791","192.168.1.233","142.251.1.95","QUIC","77","Protected Payload (KP0), DCID=de77efa9a1a8f57b"
"180","16.910842","192.168.1.233","173.194.221.95","UDP","573","59139  >  443 Len=531"
"181","16.930657","173.194.221.95","192.168.1.233","UDP","73","443  >  59139 Len=31"
"182","16.942337","192.168.1.233","142.251.1.95","QUIC","75","Protected Payload (KP0), DCID=de77efa9a1a8f57b"
"183","16.942410","192.168.1.233","173.194.221.95","UDP","75","59139  >  443 Len=33"
"184","16.943237","168.95.246.4","192.168.1.233","ICMP","58","Echo (ping) reply    id=0x0002, seq=39072/41112, ttl=51 (request in 173)"
"185","16.958068","142.251.1.95","192.168.1.233","QUIC","67","Protected Payload (KP0)"
"186","17.014177","108.156.22.73","192.168.1.233","TCP","60","443  >  51921 [ACK] Seq=1 Ack=1 Win=133 Len=0"
"187","17.014227","192.168.1.233","108.156.22.73","TCP","54","[TCP ACKed unseen segment] 51921  >  443 [ACK] Seq=1 Ack=2 Win=513 Len=0"
"188","17.030776","18.165.122.53","192.168.1.233","TCP","60","443  >  51922 [ACK] Seq=1 Ack=1 Win=133 Len=0"
"189","17.030808","192.168.1.233","18.165.122.53","TCP","54","[TCP ACKed unseen segment] 51922  >  443 [ACK] Seq=1 Ack=2 Win=513 Len=0"
"190","17.047659","173.194.221.95","192.168.1.233","UDP","137","443  >  59139 Len=95"
"191","17.048120","192.168.1.233","173.194.221.95","UDP","80","59139  >  443 Len=38"
"192","17.082317","173.194.221.95","192.168.1.233","UDP","68","443  >  59139 Len=26"
"193","17.652562","162.247.241.14","192.168.1.233","TCP","54","[TCP Keep-Alive] 443  >  52022 [ACK] Seq=25 Ack=2 Win=8 Len=0"
"194","17.652597","192.168.1.233","162.247.241.14","TCP","54","[TCP Keep-Alive ACK] 52022  >  443 [ACK] Seq=2 Ack=26 Win=508 Len=0"
"195","17.922524","151.101.1.69","192.168.1.233","TCP","60","443  >  51212 [ACK] Seq=1 Ack=1 Win=310 Len=0"
"196","17.922563","192.168.1.233","151.101.1.69","TCP","54","[TCP ACKed unseen segment] 51212  >  443 [ACK] Seq=1 Ack=2 Win=513 Len=0"
"197","17.944093","192.168.1.233","168.95.246.4","ICMP","58","Echo (ping) request  id=0x0002, seq=39073/41368, ttl=255 (reply in 199)"
"198","17.960182","SeongjiI_ca:f7:16","Broadcast","ARP","60","Who has 192.168.1.1? Tell 192.168.1.51"
